59.166.0.0,6055,149.171.126.5,54145,tcp,FIN,0.072974,4238,60788,31,29,7,30,-,458245.4375,6571546.5,72,72,255,255,1003293149,1003585034,59,844,0,0,62.04531,61.899776,1421955842,1421955842,1.02269,0.997042,0.002317,0.002173,0.000144,0,0,0,0,0,13,13,6,7,1,1,2,,0
59.166.0.0,7832,149.171.126.3,5607,tcp,FIN,0.144951,5174,91072,31,29,7,39,-,282412.6875,4971776.5,90,92,255,255,3152877672,1047439924,57,990,0,0,98.166675,97.062913,1421955842,1421955842,1.624562,1.587374,0.000665,0.000497,0.000168,0,0,0,0,0,13,13,6,7,1,1,2,,0
59.166.0.8,11397,149.171.126.6,21,tcp,FIN,0.116107,2934,3742,31,29,11,15,ftp,198299.8438,253076.9063,52,54,255,255,3208685093,3215278370,56,69,0,0,194.564141,4.796288,1421955842,1421955842,2.31466,2.149906,0.002342,0.002151,0.000191,0,0,0,1,1,1,2,7,5,1,1,4,,0
59.166.0.0,3804,149.171.126.3,53,udp,CON,0.000986,146,178,31,29,0,0,-,592292.0625,722109.5,2,2,0,0,0,0,73,89,0,0,0,0,1421955842,1421955842,0.011,0.009,0,0,0,0,0,0,0,0,13,13,6,7,1,1,2,,0
59.166.0.8,14339,149.171.126.6,14724,tcp,FIN,0.03848,8928,320,31,29,4,1,-,1723700.625,55509.35547,14,6,255,255,1063301791,1113098865,638,53,0,0,245.278645,11.454426,1421955842,1421955842,2.96,6.054,0.008268,0.008075,0.000193,0,0,0,0,0,8,20,7,5,1,1,4,,0
59.166.0.8,39094,149.171.126.3,53,udp,CON,0.001026,130,162,31,29,0,0,-,506822.5938,631578.9375,2,2,0,0,0,0,65,81,0,0,0,0,1421955842,1421955842,0.01,0.002,0,0,0,0,0,0,0,0,8,13,6,5,1,1,1,,0
59.166.0.0,10845,149.171.126.7,5190,tcp,FIN,0.005645,1064,2260,31,29,4,4,-,1383171,2936404,12,12,255,255,3332873586,3333118514,89,188,0,0,26.861513,0.567548,1421955842,1421955842,0.481091,0.463909,0.000685,0.000536,0.000149,0,0,0,0,0,13,9,1,7,2,1,1,,0
59.166.0.3,45642,149.171.126.5,80,tcp,FIN,0.020018,1036,824,31,29,2,2,-,362473.7813,296533.125,8,10,255,255,823302054,2971657685,130,82,1,83,161.021453,3.943935,1421955842,1421955842,2.809286,2.170889,0.000615,0.000477,0.000138,0,0,1,0,0,18,13,6,5,2,1,1,,0
59.166.0.4,1931,149.171.126.6,6881,tcp,FIN,3.27602,13766,548216,31,29,21,197,-,33477.20703,1335681.75,240,438,255,255,3380365896,1235369261,57,1252,0,0,4187.788536,3094.050117,1421955839,1421955842,13.705833,7.495552,0.000594,0.000461,0.000133,0,0,0,0,0,12,20,7,2,1,1,1,,0
59.166.0.8,25724,149.171.126.6,5190,tcp,FIN,0.153293,1272,2572,31,29,4,4,-,62259.85547,126815.9688,16,18,255,255,1663293473,3808969536,80,143,0,0,582.398613,14.825684,1421955843,1421955843,10.1946,8.984412,0.000701,0.000548,0.000153,0,0,0,0,0,8,20,2,1,1,1,1,,0
59.166.0.3,49668,149.171.126.7,80,tcp,FIN,1.010939,1684,10168,31,29,3,5,-,12376.61231,76000.63281,14,18,255,255,883296202,884264910,120,565,1,3924,8766.790659,7676.457183,1421955842,1421955843,77.737382,59.434353,0.000708,0.000551,0.000157,0,0,1,0,0,18,9,2,1,1,1,1,,0
59.166.0.2,14951,149.171.126.6,53,udp,CON,0.001025,146,178,31,29,0,0,-,569756.125,694634.125,2,2,0,0,0,0,73,89,0,0,0,0,1421955843,1421955843,0.01,0.011,0,0,0,0,0,0,0,0,7,20,2,1,1,1,1,,0
59.166.0.4,27545,149.171.126.3,111,udp,CON,0.004571,568,320,31,29,0,0,-,745569.875,420039.375,4,4,0,0,0,0,142,80,0,0,1.666887,1.468189,1421955843,1421955843,1.183667,1.040667,0,0,0,0,0,0,0,0,12,13,2,3,1,1,2,,0
59.166.0.4,56591,149.171.126.3,39730,udp,CON,0.001662,536,304,31,29,0,0,-,1935018.125,1097473,4,4,0,0,0,0,134,76,0,0,0.60552,0.284257,1421955843,1421955843,0.433667,0.204,0,0,0,0,0,0,0,0,12,13,2,3,1,1,2,,0
59.166.0.6,27855,149.171.126.4,53,udp,CON,0.001061,130,162,31,29,0,0,-,490103.6563,610744.5625,2,2,0,0,0,0,65,81,0,0,0,0,1421955843,1421955843,0.01,0.01,0,0,0,0,0,0,0,0,10,4,1,1,1,1,1,,0
59.166.0.7,50296,149.171.126.8,53,udp,CON,0.001084,130,162,31,29,0,0,-,479704.8125,597786,2,2,0,0,0,0,65,81,0,0,0,0,1421955843,1421955843,0.01,0.009,0,0,0,0,0,0,0,0,8,9,4,1,1,1,1,,0
59.166.0.9,30115,149.171.126.8,31010,tcp,FIN,0.011628,320,1874,31,29,1,2,-,183694.5313,1128311,6,8,255,255,3752882237,3756694067,53,234,0,0,151.292813,2.971537,1421955843,1421955843,2.2638,1.590429,0.000621,0.000489,0.000132,0,0,0,0,0,8,9,4,3,1,1,2,,0
59.166.0.0,5573,149.171.126.9,80,tcp,FIN,1.111881,1684,10168,31,29,3,5,-,11253.00293,69100.92188,14,18,255,255,943296455,3093864798,120,565,1,3924,8815.455705,7718.685967,1421955842,1421955843,85.502156,65.371941,0.000716,0.000555,0.000161,0,0,1,0,0,13,9,1,3,1,1,1,,0
59.166.0.0,23062,149.171.126.1,5190,tcp,FIN,0.139313,1272,2572,31,29,4,4,-,68507.60938,139541.8906,16,18,255,255,1543294211,3693169045,80,143,0,0,499.1996,12.369611,1421955843,1421955843,9.263266,8.162706,0.000657,0.000536,0.000121,0,0,0,0,0,13,11,3,3,1,1,1,,0
59.166.0.5,34913,149.171.126.7,5190,tcp,FIN,0.196174,2158,2464,31,29,6,6,-,84374.07813,96322.65625,24,24,255,255,1243293462,3393129254,90,103,0,0,0,13.610566,1421955842,1421955843,8.510261,8.506695,0.000669,0.000513,0.000156,0,0,0,0,0,4,9,2,2,1,1,1,,0
59.166.0.0,16182,149.171.126.8,53,udp,CON,0.001021,146,178,31,29,0,0,-,571988.25,697355.5625,2,2,0,0,0,0,73,89,0,0,0,0,1421955843,1421955843,0.011,0.008,0,0,0,0,0,0,0,0,13,9,4,3,1,1,1,,0
59.166.0.5,60312,149.171.126.1,53,udp,CON,0.001121,146,178,31,29,0,0,-,520963.4063,635147.1875,2,2,0,0,0,0,73,89,0,0,0,0,1421955843,1421955843,0.01,0.011,0,0,0,0,0,0,0,0,4,11,3,2,1,1,1,,0
59.166.0.4,20134,149.171.126.1,5190,tcp,FIN,0.076223,2158,2568,31,29,6,6,-,217152.2969,259239.3281,24,26,255,255,1483293198,3629052384,90,99,0,0,331.08936,9.548391,1421955843,1421955843,3.297913,3.01928,0.000861,0.000731,0.00013,0,0,0,0,0,12,11,3,3,1,1,1,,0
59.166.0.9,50600,149.171.126.8,49439,tcp,FIN,0.225766,424,8824,31,29,1,4,-,13146.35449,286633.0625,8,12,255,255,1603302443,3823063015,53,735,0,0,2195.865209,1743.716568,1421955843,1421955843,32.201571,20.478636,0.000622,0.000498,0.000124,0,0,0,0,0,8,9,4,3,1,1,2,,0
59.166.0.9,55009,149.171.126.5,53,udp,CON,0.001028,130,162,31,29,0,0,-,505836.5625,630350.1875,2,2,0,0,0,0,65,81,0,0,0,0,1421955843,1421955843,0.01,0.011,0,0,0,0,0,0,0,0,8,13,1,3,1,1,1,,0
